rank,content_hash_id,model_score,action,reason_codes_str,recent_impressions,recent_clicks,click_ratio_recent_prior,position_change
1,content_138f7581e09c7378,0.895,MONITOR,STABLE_MONITOR,12323.0,49.0,1.351,-0.159
2,content_690341de91120803,0.891,REFRESH_REVIEW,DECLINING_IMPRESSIONS + POSITION_WORSENING,16007.0,72.0,1.259,0.504
3,content_60ffc60f92ae4b26,0.89,MONITOR,ENGAGEMENT_DECLINE,80743.0,244.0,1.145,-0.38
4,content_7132151ec39c08f7,0.889,MONITOR,STABLE_MONITOR,28708.0,186.0,1.889,-0.475
5,content_6695643b05102f2d,0.887,MONITOR,ENGAGEMENT_DECLINE,20800.0,231.0,1.172,-0.247
6,content_4956564cd5565bfd,0.886,MONITOR,ENGAGEMENT_DECLINE,27166.0,78.0,1.234,-0.724
7,content_bba166e1598f1453,0.885,MONITOR,STABLE_MONITOR,10104.0,63.0,1.28,0.309
8,content_f1466c9e20c2b57c,0.884,MONITOR,STABLE_MONITOR,8129.0,72.0,1.327,0.303
9,content_ead143532cd7e033,0.883,REFRESH_REVIEW,DECLINING_IMPRESSIONS,3539.0,52.0,1.472,-0.782
10,content_a1ff20c72c0b697f,0.883,RECOVERY_REVIEW,RECOVERY_SIGNAL,22774.0,190.0,2.099,-0.433
11,content_40baa8f1016f5742,0.883,REFRESH_REVIEW,DECLINING_IMPRESSIONS,58618.0,561.0,1.325,-0.159
12,content_34d0ad1663a61985,0.882,MONITOR,ENGAGEMENT_DECLINE,10118.0,56.0,1.425,-0.147
13,content_2665b7062db38778,0.882,REFRESH_REVIEW,DECLINING_IMPRESSIONS,7763.0,44.0,1.731,-0.458
14,content_15cfaf0af3f40954,0.882,MONITOR,STABLE_MONITOR,12659.0,79.0,1.25,0.153
15,content_a4c97a728f264492,0.881,MONITOR,ENGAGEMENT_DECLINE,14844.0,91.0,1.559,0.277
16,content_4078e96bf165d4ef,0.879,REFRESH_REVIEW,DECLINING_IMPRESSIONS + ENGAGEMENT_DECLINE,38598.0,71.0,1.6,-0.925
17,content_4c15fe8dc370f3cd,0.878,MONITOR,STABLE_MONITOR,22409.0,619.0,1.466,-0.116
18,content_45f1412fa0de55d9,0.877,MONITOR,ENGAGEMENT_DECLINE,27968.0,220.0,1.39,0.434
19,content_9fbf53c53ca4ae69,0.877,MONITOR,STABLE_MONITOR,12751.0,118.0,1.384,0.075
20,content_98a515fc7ec109f9,0.876,MONITOR,STABLE_MONITOR,3327.0,42.0,1.483,-0.901
21,content_f1eb238a6bb2d830,0.875,MONITOR,STABLE_MONITOR,5111.0,48.0,1.324,-0.018
22,content_0dc485e0a1025e72,0.875,MONITOR,ENGAGEMENT_DECLINE,13286.0,65.0,1.269,0.198
23,content_bc89488fb3e0594a,0.875,MONITOR,STABLE_MONITOR,6887.0,79.0,1.29,-0.678
24,content_6f5bab6d84fb3b86,0.873,REFRESH_REVIEW,DECLINING_IMPRESSIONS + ENGAGEMENT_DECLINE,12035.0,60.0,1.07,0.421
25,content_ad9b0f6e79707e8d,0.873,REFRESH_REVIEW,POSITION_WORSENING,14213.0,129.0,1.429,0.908
26,content_ceb517841b9c68e7,0.872,MONITOR,ENGAGEMENT_DECLINE,2673.0,76.0,1.203,-0.322
27,content_641e1f88f59d06aa,0.871,MONITOR,STABLE_MONITOR,10481.0,40.0,1.171,0.054
28,content_3857d279a485788c,0.871,MONITOR,ENGAGEMENT_DECLINE,8959.0,39.0,1.667,-0.051
29,content_ae3b2e0b9e13b713,0.87,MONITOR,ENGAGEMENT_DECLINE,3937.0,40.0,1.519,0.355
30,content_ced32b13ad1c8a05,0.87,REFRESH_REVIEW,DECLINING_IMPRESSIONS,4658.0,68.0,1.0,-0.026
31,content_9bc9ca3055ae232d,0.87,MONITOR,ENGAGEMENT_DECLINE,10640.0,92.0,1.476,0.34
32,content_18f53c63ce48f312,0.868,MONITOR,STABLE_MONITOR,13980.0,59.0,1.2,0.268
33,content_883c091924578f3a,0.868,MONITOR,ENGAGEMENT_DECLINE,5902.0,21.0,1.571,-0.333
34,content_f86f77b3ebdc05ee,0.868,MONITOR,ENGAGEMENT_DECLINE,45903.0,157.0,1.534,0.025
35,content_18f0847d6628f8c6,0.868,REFRESH_REVIEW,POSITION_WORSENING,46067.0,356.0,1.539,0.546
36,content_f313077f8a33236c,0.868,MONITOR,STABLE_MONITOR,15191.0,97.0,1.485,0.187
37,content_202ad468618695b6,0.868,REFRESH_REVIEW,DECLINING_IMPRESSIONS + ENGAGEMENT_DECLINE,6579.0,64.0,1.161,0.309
38,content_cbb44b4a10088d7b,0.868,REFRESH_REVIEW,DECLINING_IMPRESSIONS + ENGAGEMENT_DECLINE,4641.0,27.0,1.474,-0.363
39,content_de9d8371ff43e72f,0.868,MONITOR,STABLE_MONITOR,11449.0,68.0,1.408,0.299
40,content_fd7c178012c7839b,0.867,REFRESH_REVIEW,DECLINING_IMPRESSIONS + POSITION_WORSENING,28208.0,86.0,1.16,1.016
41,content_97e419cbae6021a4,0.867,REFRESH_REVIEW,DECLINING_IMPRESSIONS,8668.0,125.0,1.096,0.173
42,content_f9fe1fc203b9a055,0.867,MONITOR,ENGAGEMENT_DECLINE,9189.0,22.0,1.917,0.246
43,content_9125a808df6e9315,0.867,MONITOR,STABLE_MONITOR,10513.0,160.0,1.425,0.428
44,content_d535290ae8241c70,0.867,REFRESH_REVIEW,DECLINING_IMPRESSIONS + POSITION_WORSENING,12623.0,60.0,1.173,0.738
45,content_5e4f0ccdfc0067f5,0.867,MONITOR,ENGAGEMENT_DECLINE,27627.0,345.0,1.922,0.288
46,content_1aeaf150a5557591,0.867,MONITOR,ENGAGEMENT_DECLINE,3028.0,89.0,1.268,-0.296
47,content_25d3304bfec9bae5,0.867,MONITOR,STABLE_MONITOR,6811.0,31.0,1.684,0.194
48,content_300690ed36a233d4,0.866,MONITOR,ENGAGEMENT_DECLINE,8117.0,49.0,1.19,-0.11
49,content_cedadfe5ae4845ac,0.866,MONITOR,ENGAGEMENT_DECLINE,5128.0,24.0,1.786,-0.403
50,content_d90fe6c048fbc47d,0.866,REFRESH_REVIEW,DECLINING_IMPRESSIONS + POSITION_WORSENING,2128.0,23.0,1.714,0.62
